名称,描述,图片链接,基础价格(普通/银/金/铱),渔夫职业价格,垂钓者职业价格,位置,时间,季节,天气,尺寸（厘米）,难度和行为,基础经验,用途
河豚,它受到威胁时会膨胀。,https://stardewvalleywiki.com/mediawiki/images/b/ba/Pufferfish.png,普通:200; 银星:250; 金星:300; 铱星:400,普通:250; 银星:312; 金星:375; 铱星:500,普通:300; 银星:375; 金星:450; 铱星:600,海洋，姜岛海洋,中午12:00至下午4:00,夏季; （姜岛任意季节）,晴天,3~94,80 漂浮型,29,"特色鱼类收集包 阿比盖尔（最爱的礼物） ""水产调查""任务"
鳀鱼,一种海里的小银鱼。,https://stardewvalleywiki.com/mediawiki/images/7/79/Anchovy.png,普通:30; 银星:37; 金星:45; 铱星:60,普通:37; 银星:46; 金星:56; 铱星:75,普通:45; 银星:55; 金星:67; 铱星:90,海洋,任意时间,春季; 秋季,任何,3~43,30 猛冲型,13,
金枪鱼,一种住在海里的大型鱼。,https://stardewvalleywiki.com/mediawiki/images/c/c5/Tuna.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,海洋，姜岛海洋,上午6:00至晚上7:00,夏季; 冬季; （姜岛任意季节）,任何,30~155,70 平滑型,26,海鱼收集包; 优质鱼收集包 鱼肉卷
沙丁鱼,一种常见的海鱼。,https://stardewvalleywiki.com/mediawiki/images/0/04/Sardine.png,普通:40; 银星:50; 金星:60; 铱星:80,普通:50; 银星:62; 金星:75; 铱星:100,普通:60; 银星:75; 金星:90; 铱星:120,海洋,上午6:00至晚上7:00,春季; 秋季; 冬季,任何,3~33,30 猛冲型,13,海鱼收集包 海之菜肴
鲷鱼,一种夜间活跃的常见河鱼。,https://stardewvalleywiki.com/mediawiki/images/8/82/Bream.png,普通:45; 银星:56; 金星:67; 铱星:90,普通:56; 银星:70; 金星:83; 铱星:112,普通:67; 银星:84; 金星:100; 铱星:135,河流（小镇+森林）,下午6:00至凌晨2:00,任意季节,任何,30~79,35 平滑型,14,夜间垂钓收集包 烤鱼
大嘴鲈鱼,一种住在湖里的受欢迎鱼类。,https://stardewvalleywiki.com/mediawiki/images/1/11/Largemouth_Bass.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,深山湖泊,上午6:00至晚上7:00,任意季节,任何,28~79,50 混合型,19,"湖鱼收集包; 优质鱼收集包 香酥鲈鱼 ""砂锅鱼""任务"
小嘴鲈鱼,一种对污染很敏感的淡水鱼。,https://stardewvalleywiki.com/mediawiki/images/a/a5/Smallmouth_Bass.png,普通:50; 银星:62; 金星:75; 铱星:100,普通:62; 银星:77; 金星:93; 铱星:125,普通:75; 银星:93; 金星:112; 铱星:150,河流（小镇）; 煤矿森林池塘,任意时间,春季; 秋季,任何,30~64,28 混合型,12,
虹鳟鱼,一种身上有彩虹带的淡水鳟鱼。,https://stardewvalleywiki.com/mediawiki/images/1/14/Rainbow_Trout.png,普通:65; 银星:81; 金星:97; 铱星:130,普通:81; 银星:101; 金星:121; 铱星:162,普通:97; 银星:121; 金星:145; 铱星:195,河流（小镇+森林）; 深山湖泊,上午6:00至晚上7:00,夏季,晴天,25~66,45 混合型,18,鳟鱼汤
鲑鱼,它会游到上游产卵。,https://stardewvalleywiki.com/mediawiki/images/e/e0/Salmon.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,河流（小镇+森林）; 煤矿森林瀑布,上午6:00至晚上7:00,秋季,任何,61~168,50 混合型,19,鲑鱼晚餐
大眼鱼,一种在夜间捕捉的淡水鱼。,https://stardewvalleywiki.com/mediawiki/images/0/05/Walleye.png,普通:105; 银星:131; 金星:157; 铱星:210,普通:131; 银星:163; 金星:196; 铱星:262,普通:157; 银星:196; 金星:235; 铱星:315,河流（小镇+森林）; 煤矿森林池塘; 深山湖泊,中午12:00至凌晨2:00,秋季; 冬季（使用雨水图腾）,雨天,25~104,45 平滑型,18,夜间垂钓收集包; 优质鱼收集包
